product_id,product_name,category,criticality,stock_quantity,avg_daily_usage,usage_trend_pct
THY-0001,O-Ring Seal Kit,Consumables,Low,92,2.37,-23.5
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,147,3.5,2.6
THY-0003,Turbine Engine Oil,Consumables,High,310,4.75,4.4
THY-0004,Grease Cartridge,Consumables,Low,218,4.06,10.2
THY-0005,Safety Wire Spool,Consumables,Medium,88,2.89,-16.6
THY-0006,Rivet Pack (100pc),Consumables,Medium,117,5.36,-2.5
THY-0007,Cabin Air Filter,Consumables,Low,365,4.37,8.1
THY-0008,Fuel Filter Element,Consumables,Medium,41,1.99,5.1
THY-0009,Oil Filter Element,Consumables,Low,62,1.59,2.4
THY-0010,Wiper Blade,Consumables,Low,163,3.63,2.0
THY-0011,Sealant Tube (PR-1440),Consumables,Low,99,2.48,3.7
THY-0012,Anti-Ice Fluid Drum,Consumables,Low,120,4.59,-1.1
THY-0013,Bolt Kit (AN-Series),Consumables,Low,40,2.23,1.2
THY-0014,Cotter Pin Pack,Consumables,Medium,48,1.31,1.5
THY-0015,Adhesive Film Roll,Consumables,Medium,184,2.92,-17.7
THY-0016,Hydraulic Pump Assembly,Hydraulics,Medium,46,0.63,23.3
THY-0017,Flap Actuator,Hydraulics,High,15,0.27,-34.2
THY-0018,Hydraulic Accumulator,Hydraulics,High,5,0.22,-9.3
THY-0019,Hydraulic Hose Assembly,Hydraulics,High,10,0.38,-4.2
THY-0020,Servo Control Valve,Hydraulics,High,22,0.49,-10.4
THY-0021,Pressure Transducer,Hydraulics,High,25,0.56,-3.5
THY-0022,Landing Gear Selector Valve,Hydraulics,Medium,5,0.23,-25.3
THY-0023,Reservoir Cap Assembly,Hydraulics,Medium,35,0.55,-2.0
THY-0024,Main Wheel Tire,Landing Gear,High,12,0.5,15.1
THY-0025,Nose Wheel Tire,Landing Gear,Medium,26,0.36,-10.8
THY-0026,Brake Assembly,Landing Gear,High,13,0.26,-9.7
THY-0027,Carbon Brake Disc,Landing Gear,Medium,40,0.97,3.8
THY-0028,Shock Strut Seal Kit,Landing Gear,Medium,60,0.98,6.5
THY-0029,Torque Link Pin,Landing Gear,High,44,0.66,-20.4
THY-0030,Wheel Bearing Set,Landing Gear,High,8,0.36,-13.8
THY-0031,Axle Nut,Landing Gear,Medium,26,0.7,-6.5
THY-0032,Transponder Unit,Avionics,Medium,3,0.45,-0.2
THY-0033,Weather Radar Antenna,Avionics,Medium,13,0.31,-5.6
THY-0034,VHF Radio Unit,Avionics,Medium,5,0.19,-9.2
THY-0035,Navigation Display,Avionics,High,6,0.27,-12.6
THY-0036,Pitot Tube,Avionics,High,17,0.23,-20.0
THY-0037,Static Port Sensor,Avionics,Medium,7,0.18,-25.5
THY-0038,Radio Altimeter,Avionics,High,7,0.19,1.6
THY-0039,FDR Battery Pack,Avionics,High,22,0.36,-3.9
THY-0040,Main Battery Pack,Electrical,Medium,14,0.87,0.4
THY-0041,AC Generator,Electrical,Medium,6,0.59,-1.1
THY-0042,LED Landing Light,Electrical,Low,11,0.34,-1.9
THY-0043,Wiring Harness Kit,Electrical,High,19,0.35,3.9
THY-0044,Circuit Breaker (25A),Electrical,Medium,35,0.68,8.4
THY-0045,Static Inverter,Electrical,High,12,0.61,19.9
THY-0046,Relay Module,Electrical,High,29,0.71,-15.6
THY-0047,Position Light Assembly,Electrical,Medium,25,0.61,2.6
THY-0048,Igniter Plug,Engine Parts,High,20,0.51,4.3
THY-0049,Fuel Nozzle,Engine Parts,High,11,0.17,-9.8
THY-0050,HPT Turbine Blade,Engine Parts,High,6,0.76,13.2
THY-0051,Starter Motor,Engine Parts,Medium,11,0.58,8.1
THY-0052,Bleed Air Valve,Engine Parts,High,21,0.66,-7.3
THY-0053,Fan Blade Fairing,Engine Parts,High,9,0.52,7.3
THY-0054,Oil Pressure Sensor,Engine Parts,High,7,0.26,-22.6
THY-0055,Combustor Liner Panel,Engine Parts,High,18,0.69,0.7
THY-0056,Passenger Seat Belt,Cabin Interior,Medium,46,0.73,10.1
THY-0057,Life Vest,Cabin Interior,Medium,10,1.21,18.0
THY-0058,Passenger Oxygen Mask,Cabin Interior,Medium,40,1.35,-7.4
THY-0059,Galley Latch,Cabin Interior,Low,24,1.28,-7.0
THY-0060,Reading Light Assembly,Cabin Interior,Medium,54,1.22,5.7
THY-0061,Tray Table Arm,Cabin Interior,Low,56,1.28,0.6
THY-0062,Lavatory Smoke Detector,Cabin Interior,High,17,0.94,-13.4
THY-0063,Emergency Flashlight,Cabin Interior,High,50,0.8,-20.9
