product_id,product_name,category,criticality,supplier_name,supplier_country,shipping_method,supplier_reliability_score,promised_delivery_days,actual_delivery_days
THY-0021,Pressure Transducer,Hydraulics,High,Nabtesco Aerospace,Japan,Air,0.94,12,11
THY-0063,Emergency Flashlight,Cabin Interior,High,Dubai Aerospace Parts,UAE,Air,0.78,5,6
THY-0057,Life Vest,Cabin Interior,Medium,Dubai Aerospace Parts,UAE,Sea,0.78,10,11
THY-0046,Relay Module,Electrical,High,ST Engineering Aerospace,Singapore,Sea,0.9,34,37
THY-0023,Reservoir Cap Assembly,Hydraulics,Medium,Nabtesco Aerospace,Japan,Air,0.94,8,8
THY-0060,Reading Light Assembly,Cabin Interior,Medium,Boeing Distribution Services,USA,Air,0.9,10,12
THY-0063,Emergency Flashlight,Cabin Interior,High,Boeing Distribution Services,USA,Air,0.9,10,9
THY-0038,Radio Altimeter,Avionics,High,ST Engineering Aerospace,Singapore,Air,0.9,7,6
THY-0012,Anti-Ice Fluid Drum,Consumables,Low,AeroParts Global,China,Sea,0.72,45,54
THY-0013,Bolt Kit (AN-Series),Consumables,Low,AeroParts Global,China,Air,0.72,10,15
THY-0009,Oil Filter Element,Consumables,Low,Alp Aviation,Turkey,Road,0.86,2,2
THY-0004,Grease Cartridge,Consumables,Low,Alp Aviation,Turkey,Road,0.86,3,4
THY-0017,Flap Actuator,Hydraulics,High,Collins Aerospace,USA,Air,0.93,8,8
THY-0035,Navigation Display,Avionics,High,Thales Avionics,France,Sea,0.88,17,21
THY-0022,Landing Gear Selector Valve,Hydraulics,Medium,Nabtesco Aerospace,Japan,Sea,0.94,45,49
THY-0063,Emergency Flashlight,Cabin Interior,High,Dubai Aerospace Parts,UAE,Sea,0.78,13,16
THY-0045,Static Inverter,Electrical,High,Meggitt PLC,UK,Sea,0.85,17,16
THY-0024,Main Wheel Tire,Landing Gear,High,Meggitt PLC,UK,Air,0.85,7,7
THY-0037,Static Port Sensor,Avionics,Medium,Thales Avionics,France,Air,0.88,6,7
THY-0015,Adhesive Film Roll,Consumables,Medium,Boeing Distribution Services,USA,Air,0.9,6,5
THY-0009,Oil Filter Element,Consumables,Low,Dubai Aerospace Parts,UAE,Sea,0.78,10,15
THY-0017,Flap Actuator,Hydraulics,High,Nabtesco Aerospace,Japan,Air,0.94,8,9
THY-0011,Sealant Tube (PR-1440),Consumables,Low,Kale Aero,Turkey,Road,0.83,3,2
THY-0037,Static Port Sensor,Avionics,Medium,Collins Aerospace,USA,Air,0.93,7,7
THY-0033,Weather Radar Antenna,Avionics,Medium,Thales Avionics,France,Sea,0.88,20,23
THY-0010,Wiper Blade,Consumables,Low,Dubai Aerospace Parts,UAE,Sea,0.78,11,15
THY-0047,Position Light Assembly,Electrical,Medium,AeroParts Global,China,Air,0.72,8,10
THY-0013,Bolt Kit (AN-Series),Consumables,Low,AeroParts Global,China,Air,0.72,11,13
THY-0043,Wiring Harness Kit,Electrical,High,ST Engineering Aerospace,Singapore,Air,0.9,7,8
THY-0061,Tray Table Arm,Cabin Interior,Low,Boeing Distribution Services,USA,Air,0.9,9,8
THY-0041,AC Generator,Electrical,Medium,Meggitt PLC,UK,Air,0.85,3,5
THY-0055,Combustor Liner Panel,Engine Parts,High,TEI Tusas Engine Industries,Turkey,Road,0.89,2,3
THY-0058,Passenger Oxygen Mask,Cabin Interior,Medium,Kale Aero,Turkey,Road,0.83,5,7
THY-0004,Grease Cartridge,Consumables,Low,Boeing Distribution Services,USA,Air,0.9,10,11
THY-0012,Anti-Ice Fluid Drum,Consumables,Low,AeroParts Global,China,Air,0.72,12,15
THY-0027,Carbon Brake Disc,Landing Gear,Medium,Alp Aviation,Turkey,Air,0.86,3,4
THY-0061,Tray Table Arm,Cabin Interior,Low,Boeing Distribution Services,USA,Air,0.9,6,6
THY-0053,Fan Blade Fairing,Engine Parts,High,TEI Tusas Engine Industries,Turkey,Road,0.89,3,3
THY-0040,Main Battery Pack,Electrical,Medium,ST Engineering Aerospace,Singapore,Sea,0.9,34,43
THY-0037,Static Port Sensor,Avionics,Medium,Collins Aerospace,USA,Sea,0.93,31,35
THY-0043,Wiring Harness Kit,Electrical,High,ST Engineering Aerospace,Singapore,Air,0.9,8,10
THY-0036,Pitot Tube,Avionics,High,ST Engineering Aerospace,Singapore,Sea,0.9,38,35
THY-0054,Oil Pressure Sensor,Engine Parts,High,Safran Aerosystems,France,Air,0.91,7,6
THY-0020,Servo Control Valve,Hydraulics,High,Liebherr Aerospace,Germany,Sea,0.92,16,16
THY-0020,Servo Control Valve,Hydraulics,High,Collins Aerospace,USA,Air,0.93,6,7
THY-0011,Sealant Tube (PR-1440),Consumables,Low,Dubai Aerospace Parts,UAE,Sea,0.78,14,19
THY-0016,Hydraulic Pump Assembly,Hydraulics,Medium,Collins Aerospace,USA,Air,0.93,7,8
THY-0057,Life Vest,Cabin Interior,Medium,Dubai Aerospace Parts,UAE,Air,0.78,4,6
THY-0008,Fuel Filter Element,Consumables,Medium,Boeing Distribution Services,USA,Sea,0.9,32,35
THY-0053,Fan Blade Fairing,Engine Parts,High,GKN Aerospace,UK,Air,0.87,4,3
THY-0012,Anti-Ice Fluid Drum,Consumables,Low,Alp Aviation,Turkey,Road,0.86,3,5
THY-0018,Hydraulic Accumulator,Hydraulics,High,Liebherr Aerospace,Germany,Air,0.92,3,2
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,Alp Aviation,Turkey,Air,0.86,1,1
THY-0012,Anti-Ice Fluid Drum,Consumables,Low,Boeing Distribution Services,USA,Air,0.9,8,10
THY-0055,Combustor Liner Panel,Engine Parts,High,Safran Aerosystems,France,Air,0.91,5,4
THY-0049,Fuel Nozzle,Engine Parts,High,GKN Aerospace,UK,Air,0.87,7,7
THY-0033,Weather Radar Antenna,Avionics,Medium,ST Engineering Aerospace,Singapore,Air,0.9,6,6
THY-0025,Nose Wheel Tire,Landing Gear,Medium,Alp Aviation,Turkey,Road,0.86,3,4
THY-0033,Weather Radar Antenna,Avionics,Medium,Thales Avionics,France,Sea,0.88,19,25
THY-0062,Lavatory Smoke Detector,Cabin Interior,High,Kale Aero,Turkey,Road,0.83,2,3
THY-0025,Nose Wheel Tire,Landing Gear,Medium,GKN Aerospace,UK,Sea,0.87,19,18
THY-0054,Oil Pressure Sensor,Engine Parts,High,TEI Tusas Engine Industries,Turkey,Road,0.89,5,4
THY-0007,Cabin Air Filter,Consumables,Low,Alp Aviation,Turkey,Road,0.86,5,4
THY-0012,Anti-Ice Fluid Drum,Consumables,Low,Dubai Aerospace Parts,UAE,Air,0.78,4,5
THY-0043,Wiring Harness Kit,Electrical,High,Collins Aerospace,USA,Sea,0.93,28,26
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,Dubai Aerospace Parts,UAE,Air,0.78,6,8
