product_id,product_name,category,criticality,snapshot_date,stock_quantity,avg_daily_usage,usage_trend_pct,days_until_stockout
THY-0001,O-Ring Seal Kit,Consumables,Low,2025-12-08,84,3.89,0.0,19
THY-0001,O-Ring Seal Kit,Consumables,Low,2025-12-22,26,4.15,6.8,6
THY-0001,O-Ring Seal Kit,Consumables,Low,2026-01-05,148,4.73,14.0,44
THY-0001,O-Ring Seal Kit,Consumables,Low,2026-01-19,89,4.24,-10.3,26
THY-0001,O-Ring Seal Kit,Consumables,Low,2026-02-02,40,3.52,-17.0,14
THY-0001,O-Ring Seal Kit,Consumables,Low,2026-02-16,197,3.48,-1.2,55
THY-0001,O-Ring Seal Kit,Consumables,Low,2026-03-02,164,2.4,-31.1,48
THY-0001,O-Ring Seal Kit,Consumables,Low,2026-03-16,116,3.37,40.7,29
THY-0001,O-Ring Seal Kit,Consumables,Low,2026-03-30,65,3.68,9.0,17
THY-0001,O-Ring Seal Kit,Consumables,Low,2026-04-13,0,4.64,26.0,0
THY-0001,O-Ring Seal Kit,Consumables,Low,2026-04-27,47,4.23,-8.7,10
THY-0001,O-Ring Seal Kit,Consumables,Low,2026-05-11,104,3.96,-6.4,31
THY-0001,O-Ring Seal Kit,Consumables,Low,2026-05-25,53,3.65,-7.8,16
THY-0001,O-Ring Seal Kit,Consumables,Low,2026-06-08,125,3.09,-15.2,42
THY-0001,O-Ring Seal Kit,Consumables,Low,2026-06-22,92,2.37,-23.5,33
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,2025-12-08,42,5.51,0.0,7
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,2025-12-22,191,5.51,0.1,31
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,2026-01-05,113,5.58,1.2,24
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,2026-01-19,305,4.7,-15.7,70
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,2026-02-02,243,4.4,-6.4,58
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,2026-02-16,184,4.19,-4.8,42
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,2026-03-02,132,3.74,-10.8,31
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,2026-03-16,77,3.93,5.1,18
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,2026-03-30,262,5.41,37.6,47
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,2026-04-13,185,5.52,2.2,29
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,2026-04-27,105,5.67,2.6,20
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,2026-05-11,26,5.64,-0.4,4
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,2026-05-25,144,5.24,-7.1,36
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,2026-06-08,83,4.39,-16.2,19
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,2026-06-22,196,3.42,-22.2,43
THY-0002,Hydraulic Fluid (Skydrol LD-4),Consumables,Low,2026-07-06,147,3.5,2.6,33
THY-0003,Turbine Engine Oil,Consumables,High,2025-12-08,157,5.85,0.0,24
THY-0003,Turbine Engine Oil,Consumables,High,2025-12-22,64,6.62,13.3,8
THY-0003,Turbine Engine Oil,Consumables,High,2026-01-05,300,8.14,23.0,52
THY-0003,Turbine Engine Oil,Consumables,High,2026-01-19,211,6.4,-21.5,43
THY-0003,Turbine Engine Oil,Consumables,High,2026-02-02,134,5.48,-14.4,28
THY-0003,Turbine Engine Oil,Consumables,High,2026-02-16,62,5.19,-5.2,16
THY-0003,Turbine Engine Oil,Consumables,High,2026-03-02,305,4.57,-12.1,50
THY-0003,Turbine Engine Oil,Consumables,High,2026-03-16,231,5.24,14.7,39
THY-0003,Turbine Engine Oil,Consumables,High,2026-03-30,148,5.95,13.6,25
THY-0003,Turbine Engine Oil,Consumables,High,2026-04-13,305,6.96,17.0,41
THY-0003,Turbine Engine Oil,Consumables,High,2026-04-27,207,7.0,0.5,29
THY-0003,Turbine Engine Oil,Consumables,High,2026-05-11,111,6.91,-1.3,18
THY-0003,Turbine Engine Oil,Consumables,High,2026-05-25,266,6.3,-8.8,49
THY-0003,Turbine Engine Oil,Consumables,High,2026-06-08,186,5.69,-9.7,39
THY-0003,Turbine Engine Oil,Consumables,High,2026-06-22,123,4.55,-20.0,26
THY-0003,Turbine Engine Oil,Consumables,High,2026-07-06,310,4.75,4.4,45
THY-0004,Grease Cartridge,Consumables,Low,2025-12-08,195,6.27,0.0,28
THY-0004,Grease Cartridge,Consumables,Low,2025-12-22,112,5.98,-4.6,20
THY-0004,Grease Cartridge,Consumables,Low,2026-01-05,28,5.96,-0.3,4
THY-0004,Grease Cartridge,Consumables,Low,2026-01-19,193,6.32,6.0,45
THY-0004,Grease Cartridge,Consumables,Low,2026-02-02,115,5.6,-11.5,24
THY-0004,Grease Cartridge,Consumables,Low,2026-02-16,268,4.65,-17.0,52
THY-0004,Grease Cartridge,Consumables,Low,2026-03-02,205,4.5,-3.2,41
THY-0004,Grease Cartridge,Consumables,Low,2026-03-16,142,4.5,0.0,27
THY-0004,Grease Cartridge,Consumables,Low,2026-03-30,71,5.13,14.0,13
THY-0004,Grease Cartridge,Consumables,Low,2026-04-13,218,5.94,15.8,34
THY-0004,Grease Cartridge,Consumables,Low,2026-04-27,114,7.4,24.6,18
THY-0004,Grease Cartridge,Consumables,Low,2026-05-11,241,6.26,-15.5,47
THY-0004,Grease Cartridge,Consumables,Low,2026-05-25,161,5.69,-9.1,40
THY-0004,Grease Cartridge,Consumables,Low,2026-06-08,92,4.9,-13.8,21
